ENVIRONMENT,TEMP_C,HUMIDITY_PCT,ECO2_PPM,LUX,CO_PPM,NH3_PPM,NO2_PPM,DT_SCORE
greenhouse,23.5,60.665,848,47379.7,0.871,1.494,0.025,2
dry_scrubland,33.826,12.369,418,84265.5,0.363,0.44,0.016,1
greenhouse,24.761,58.056,891,24005.2,0.517,0.79,0.014,2
frozen_wasteland,-32.829,37.574,414,3583.6,0.14,0.003,0.008,0
unventilated_room,20.796,45.861,3135,443.5,1.568,0.15,0.02,0
dry_scrubland,31.091,20.906,458,81082.5,0.729,0.113,0.006,1
tundra_edge,-3.459,72.769,462,17947.5,0.098,0.162,0.002,1
frozen_wasteland,-26.28,29.332,448,2076,0.279,0.024,0.003,0
volcanic_vent,48.917,60.626,7880,26024.5,117.001,4.349,1.334,0
tundra_edge,3.649,53.253,433,19693.2,0.334,0.183,0.007,1
tundra_edge,-4.214,57.113,460,14921.9,0.432,0.147,0.006,1
english_garden,18.322,64.341,478,32837.2,0.62,0.361,0.006,2
volcanic_vent,51.11,52.959,9606,2566.3,126.799,3.965,2.515,0
industrial_exhaust,33.122,62.188,1686,25306.5,143.37,75.95,5.677,0
english_garden,18.851,64.06,446,30667.7,0.495,0.146,0.007,2
english_garden,18.626,46.004,425,35146.8,0.511,0.401,0.007,2
unventilated_room,24.962,56.081,4664,227.1,1.942,0.254,0.028,0
greenhouse,23.13,68.953,643,29591.4,0.482,0.236,0.016,2
urban_roadside,17.984,56.623,570,19436,15.157,0.311,0.469,1
diesel_exhaust_zone,16.491,41.239,629,21408.2,1.068,0.321,7.85,0
classroom,22.696,41.745,857,427.6,1.268,0.146,0.013,2
ammonia_leak,29.53,70.239,788,322.1,0.898,329.079,0.017,0
tundra_edge,-1.856,61.805,415,2722.9,0.089,0.145,0.002,1
ammonia_leak,25.284,66.304,647,397.2,1.989,457.088,0.038,0
urban_roadside,14.469,40.253,641,7743.4,10.861,0.601,0.076,1
classroom,19.527,43.391,838,328,1.065,0.019,0.006,2
english_garden,20.847,58.38,415,10882.6,0.561,0.362,0.002,2
frozen_wasteland,-15.876,27.41,408,2342.5,0.005,0.058,0.009,0
dry_scrubland,33.937,20.219,418,96782.7,0.65,0.301,0.013,1
english_garden,15.382,62.958,495,23836.4,0.201,0.25,0.006,2
volcanic_vent,67.481,75.357,7316,11308.4,33.65,3.476,0.615,0
industrial_exhaust,27.378,45.778,4066,8335.7,132.601,86.918,5.056,0
ammonia_leak,26.733,78.718,580,123.4,0.912,343.922,0.049,0
tropical_rainforest,27.625,85.037,390,3318.5,0.085,0.679,0.002,2
diesel_exhaust_zone,15.772,68.587,513,16434,4.706,0.133,4.094,0
frozen_wasteland,-38.244,37.8,440,649.7,0.136,0.097,0.001,0
ammonia_leak,22.841,63.087,693,531.6,1.845,127.532,0.037,0
industrial_exhaust,21.324,21.555,2937,21145.9,174.828,90.676,1.076,0
indoor_kitchen_cooking,29.357,46.264,856,423.7,13.498,1.777,0.213,1
indoor_kitchen_cooking,23.141,46.036,869,509.9,13.777,1.307,0.126,1
underground_cave,11.599,85.524,2082,39.4,1.861,2.016,0.014,1
urban_roadside,12.596,46.925,595,24239.6,21.137,0.254,0.063,1
ammonia_leak,25.73,56.716,556,763.6,1.401,286.9,0.025,0
diesel_exhaust_zone,19.995,56.214,590,6233.1,4.366,0.659,7.42,0
greenhouse,22.865,59.333,614,38626.5,0.295,1.106,0.026,2
indoor_kitchen_cooking,29.442,51.889,1483,270.3,3.065,2.974,0.093,1
ammonia_leak,26.8,56.571,677,863.8,0.163,95.21,0.041,0
diesel_exhaust_zone,26.854,46.032,513,16547.1,3.663,0.832,6.793,0
unventilated_room,24.979,40.023,4280,266.8,1.791,0.148,0.019,0
indoor_kitchen_cooking,28.629,72.352,835,531.1,11,1.642,0.135,1
underground_cave,11.174,83.113,1561,35.9,1.424,1.667,0.038,1
unventilated_room,25.753,44.85,3277,312,0.92,0.156,0.028,0
ammonia_leak,21.217,76.985,413,109.5,0.643,400.332,0.042,0
industrial_exhaust,28.806,53.339,3346,14444.3,174.261,70.149,7.213,0
industrial_exhaust,31.382,23.243,3464,20988.8,177.744,76.555,1.238,0
diesel_exhaust_zone,29.28,51.692,577,24555.2,6.801,0.554,1.706,0
indoor_kitchen_cooking,27.32,64.498,1775,458.2,5.462,1.9,0.084,1
frozen_wasteland,-18.373,13.691,401,63.5,0.147,0.01,0.005,0
greenhouse,25.405,72.045,720,25881.2,0.99,0.208,0.017,2
industrial_exhaust,32.402,39.793,3258,22407,160.029,77.159,7.259,0
volcanic_vent,49.553,71.435,6979,6215.4,97.288,3.578,2.515,0
greenhouse,20.308,68.689,944,35296.2,0.138,1.133,0.007,2
volcanic_vent,54.76,68.009,9479,25227.9,104.546,2.632,2.887,0
urban_roadside,24.309,41.282,544,13380.6,9.443,0.563,0.341,1
greenhouse,22.269,72.592,706,44346.9,0.816,0.739,0.011,2
tropical_rainforest,27.794,94.176,386,8484.8,0.482,0.172,0.003,2
greenhouse,26.936,74.603,682,28672.3,0.581,0.445,0.008,2
urban_roadside,10.34,67.679,590,21899.9,21.58,0.57,0.052,1
indoor_kitchen_cooking,28.452,50.815,1134,253,3.939,0.965,0.294,1
classroom,19.144,35.401,876,351.3,0.778,0.145,0.007,2
urban_roadside,14.815,60.253,589,9274.2,16.274,0.375,0.357,1
greenhouse,27.553,62.387,981,36056,0.468,0.357,0.019,2
indoor_kitchen_cooking,26.368,59.854,1121,478.5,8.507,0.698,0.216,1
tundra_edge,4.772,66.147,429,1093.1,0.443,0.12,0.003,1
underground_cave,12.867,92.633,2370,13.2,2.329,1.166,0.011,1
unventilated_room,21.441,40.496,3393,447.5,1.005,0.253,0.028,0
tundra_edge,-3.864,61.503,466,8524,0.46,0.052,0.01,1
indoor_kitchen_cooking,24.81,51.392,1730,331.4,5.702,2.196,0.267,1
tundra_edge,2.67,57.309,443,18838.2,0.135,0.003,0.01,1
tropical_rainforest,24.257,79.135,444,6057.5,0.261,0.509,0.001,2
english_garden,18.198,59.449,441,28953,0.239,0.235,0.01,2
greenhouse,24.8,61.702,984,49749,0.318,1.466,0.01,2
diesel_exhaust_zone,25.908,48.83,485,28661.3,5.268,0.189,6.802,0
dry_scrubland,31.042,19.453,408,91204.6,0.548,0.396,0.007,1
english_garden,20.586,59.262,408,12935.1,0.741,0.317,0.008,2
indoor_kitchen_cooking,22.549,51.43,1567,449.4,10.995,2.731,0.157,1
diesel_exhaust_zone,15.514,55.141,654,20113.4,3.859,0.491,4.313,0
urban_roadside,12.056,47.609,559,8957.4,4.313,0.66,0.343,1
english_garden,19.636,61.866,437,28714.9,0.648,0.149,0.002,2
indoor_kitchen_cooking,24.84,57.007,1573,508.3,5.001,0.85,0.247,1
tropical_rainforest,24.886,78.009,428,5203.9,0.246,0.387,0.004,2
volcanic_vent,79.111,55.503,9534,15525.1,27.307,2.494,1.395,0
tundra_edge,-2.636,63.742,463,12122.2,0.25,0.135,0.004,1
industrial_exhaust,22.54,48.278,4476,9217.9,185.662,22.848,5.031,0
industrial_exhaust,17.728,39.613,3746,9690.7,115.576,32.202,8.595,0
tundra_edge,-2.376,73.076,468,4154,0.438,0.177,0.001,1
indoor_kitchen_cooking,22.086,74,1070,224.6,12.646,1.353,0.225,1
indoor_kitchen_cooking,27.817,61.648,831,587.6,11.814,1.515,0.193,1
frozen_wasteland,-17.687,34.978,415,403.6,0.269,0.043,0.008,0
dry_scrubland,32.526,24.375,441,52279.1,0.536,0.405,0.006,1
english_garden,20.763,52.337,482,9331.5,0.747,0.273,0.01,2
urban_roadside,17.549,49.73,565,9526.7,5.046,0.606,0.2,1
greenhouse,24.878,64.907,945,28463.2,0.14,0.467,0.01,2
dry_scrubland,34.68,10.182,477,81898.5,0.677,0.238,0.01,1
volcanic_vent,59.949,47.298,5193,9761.7,33.043,3.201,0.539,0
dry_scrubland,34.991,10.879,459,90864.9,0.242,0.243,0.01,1
unventilated_room,22.253,42.205,4148,276.6,1.064,0.139,0.025,0
underground_cave,11.514,81.601,1680,41.4,1.986,2.151,0.015,1
tundra_edge,1.267,67.766,445,2029.6,0.416,0.141,0.006,1
tropical_rainforest,24.926,94.949,427,2879.9,0.082,0.114,0.004,2
classroom,19.829,41.284,662,424.4,0.649,0.069,0.014,2
urban_roadside,14.859,45.649,567,7786.9,23.132,0.681,0.071,1
underground_cave,9.657,94.229,1466,2.7,0.74,1.785,0.013,1
ammonia_leak,15.349,67.724,667,136.6,0.377,272.168,0.032,0
industrial_exhaust,30.901,45.564,2168,15871.7,66.631,70.356,2.498,0
frozen_wasteland,-38.2,21.844,440,1263.4,0.038,0.043,0.01,0
indoor_kitchen_cooking,24.46,67.739,1469,253.4,3.409,2.293,0.257,1
english_garden,21.447,64.949,475,21887.1,0.189,0.317,0.009,2
urban_roadside,10.675,48.323,557,6736.5,10.884,0.406,0.28,1
ammonia_leak,23.864,54.614,495,603.6,0.029,380.994,0.013,0
unventilated_room,20.093,53.451,3329,291.7,1.342,0.419,0.026,0
ammonia_leak,23.226,41.722,650,268.1,0.096,369.366,0.038,0
english_garden,17.145,57.052,443,30072.5,0.416,0.021,0.009,2
ammonia_leak,17.527,41.421,528,751.8,0.72,415.971,0.013,0
tundra_edge,4.737,56.949,435,11794.6,0.483,0.083,0.01,1
volcanic_vent,70.532,53.803,7783,2400.7,30.818,3.65,4.622,0
underground_cave,13.845,78.733,1548,2.9,1.829,1.062,0.017,1
underground_cave,8.164,78.08,1683,16,2.363,0.75,0.013,1
dry_scrubland,37.062,20.035,400,98532.5,0.465,0.402,0.003,1
underground_cave,12.093,87.416,2223,4.2,1.596,2.434,0.039,1
indoor_kitchen_cooking,26.962,58.629,1659,460.2,13.8,0.948,0.262,1
classroom,20.899,45.875,533,662.1,1.159,0.277,0.012,2
industrial_exhaust,27.69,53.056,3565,21875.3,140.566,91.894,4.839,0
greenhouse,24.895,57.289,939,17550.9,0.787,0.988,0.026,2
indoor_kitchen_cooking,23.475,53.829,1154,386.3,14.52,0.732,0.144,1
ammonia_leak,24.603,41.108,529,696.9,0.268,238.964,0.019,0
frozen_wasteland,-33.2,34.067,424,3897.9,0.252,0.017,0.009,0
urban_roadside,12.673,43.841,527,12994.7,17.914,0.951,0.104,1
classroom,20.201,54.415,851,681.6,1.381,0.152,0.011,2
industrial_exhaust,18.493,42.929,2100,24699.7,191.686,29.346,7.523,0
indoor_kitchen_cooking,28.307,57.754,1009,510.2,3.161,1.142,0.199,1
frozen_wasteland,-17.335,24.862,437,15.9,0.102,0.006,0.009,0
indoor_kitchen_cooking,27.905,49.235,1161,292.2,8.929,2.079,0.158,1
tropical_rainforest,29.194,79.705,429,6519.8,0.193,0.445,0.003,2
urban_roadside,16.621,69.94,659,17360.4,16.925,0.27,0.185,1
underground_cave,13.391,85.404,1986,28.1,0.544,2.547,0.018,1
indoor_kitchen_cooking,27.812,45.355,848,339.2,5.758,1.684,0.222,1
english_garden,20.573,62.214,490,14722.4,0.325,0.051,0.008,2
indoor_kitchen_cooking,23.23,62.73,1008,256.2,11.911,1.199,0.138,1
frozen_wasteland,-36.161,39.968,401,3115.4,0.144,0.071,0.006,0
ammonia_leak,25.748,67.695,693,607.6,0.891,78.198,0.042,0
greenhouse,20.808,71.15,660,35551.1,0.444,0.962,0.026,2
underground_cave,12.357,82.842,2415,33.5,2.62,2.161,0.007,1
classroom,21.321,42.442,893,683.7,0.477,0.202,0.018,2
frozen_wasteland,-23.054,38.32,445,2541.3,0.186,0.075,0.007,0
underground_cave,12.892,92.028,2456,46.4,2.735,1.26,0.011,1
volcanic_vent,70.737,39.793,9895,9545.7,75.043,4.607,3.31,0
volcanic_vent,58.874,55.932,5531,7985.6,43.573,4.754,1.175,0
volcanic_vent,75.881,62.486,8942,17458.7,139.152,2.835,3.856,0
frozen_wasteland,-26.65,15.772,421,3979.6,0.162,0.092,0.005,0
diesel_exhaust_zone,18.69,47.179,484,29285.2,6.207,0.709,4.274,0
diesel_exhaust_zone,29.658,58.165,681,25169.7,3.975,0.611,5.5,0
unventilated_room,21.628,43.178,3690,206.2,1.88,0.429,0.013,0
dry_scrubland,33.793,24.71,488,61399.9,0.576,0.287,0.002,1
dry_scrubland,33.067,24.73,460,99058.1,0.121,0.053,0.02,1
volcanic_vent,54.681,68.911,4808,28663,91.55,3.31,2.32,0
greenhouse,26.569,62.922,948,34918.6,0.545,0.917,0.021,2
greenhouse,22.314,64.542,654,21420.8,0.789,1.391,0.028,2
urban_roadside,19.337,50.532,489,24389.1,7.696,0.749,0.32,1
diesel_exhaust_zone,19.833,62.558,609,7549.8,5.581,0.91,7.754,0
diesel_exhaust_zone,21.811,46.305,634,6956.9,1.893,0.164,2.959,0
english_garden,19.179,57.226,459,19133.6,0.861,0.309,0.008,2
indoor_kitchen_cooking,23.849,58.563,1778,433.6,7.127,0.613,0.095,1
classroom,22.488,53.252,740,587,1.37,0.212,0.018,2
dry_scrubland,33.308,22.157,422,96341.8,0.403,0.263,0.014,1
ammonia_leak,24.98,65.801,488,735.6,1.81,363.803,0.018,0
unventilated_room,20.701,55.248,4008,162.5,1.474,0.325,0.018,0
frozen_wasteland,-20.251,17.812,414,2290.2,0.136,0.036,0.003,0
english_garden,16.07,60.25,454,32916,0.577,0,0.004,2
indoor_kitchen_cooking,23.232,55.92,1021,560.7,14.092,2.441,0.158,1
volcanic_vent,78.219,37.522,3422,8743.8,20.834,4.399,4.3,0
frozen_wasteland,-36.373,34.292,441,2814.4,0.272,0.098,0.01,0
frozen_wasteland,-29.511,30.079,434,1885.9,0.14,0.09,0.009,0
greenhouse,25.696,57.381,959,46442.4,0.632,1.002,0.03,2
volcanic_vent,62.021,47.063,5258,17061.5,90.031,1.748,4.665,0
frozen_wasteland,-39.636,26.781,402,1788.4,0.247,0.004,0.002,0
unventilated_room,25.715,49.294,3287,118.3,0.807,0.249,0.019,0
underground_cave,12.714,86.772,2079,21.4,2.202,2.986,0.025,1
indoor_kitchen_cooking,26.222,52.556,1072,548.6,14.496,2.532,0.058,1
frozen_wasteland,-36.445,10.105,442,4728.5,0.294,0.008,0.001,0
ammonia_leak,17.805,45.823,529,638.4,1.09,261.812,0.023,0
underground_cave,8.02,79.791,2168,39.7,2.861,2.913,0.01,1
ammonia_leak,23.131,40.885,636,475.4,0.477,61.36,0.01,0
english_garden,18.53,60.288,428,39650.9,0.712,0.059,0.01,2
english_garden,20.406,56.772,450,19039,0.122,0.052,0.005,2
diesel_exhaust_zone,26.842,49.987,511,13727.7,3.921,0.828,7.908,0
frozen_wasteland,-18.824,22.616,413,1236.4,0.297,0.054,0.006,0
tundra_edge,-3.063,52.072,411,8427.3,0.195,0.11,0.008,1
classroom,22.251,49.553,682,324.3,0.638,0.036,0.012,2
tundra_edge,3.329,59.053,440,13418.8,0.231,0.031,0.009,1
urban_roadside,21.975,40.694,689,26259.9,12.074,0.778,0.332,1
classroom,22.228,52.282,648,785.2,0.376,0.134,0.011,2
english_garden,20.425,63.41,487,31546.8,0.156,0.069,0.003,2
indoor_kitchen_cooking,23.996,55.092,1030,494.5,4.427,2.905,0.09,1
indoor_kitchen_cooking,27.024,50.931,1269,343,6.72,2.849,0.073,1
english_garden,16.333,50.369,467,27293.5,0.886,0.094,0.008,2
greenhouse,27.545,56.037,976,30139.2,0.996,0.556,0.022,2
ammonia_leak,15.489,43.993,669,516.2,0.445,338.396,0.034,0
underground_cave,13.394,92.093,2249,8.2,2.381,0.502,0.035,1
urban_roadside,19.42,65.187,691,18884.4,13.035,0.826,0.465,1
